BRIDGE 641 320
BRIDGE 685 320
BRIDGE 729 320
BRIDGE 773 320
BRIDGE 817 320
BRIDGE 861 320
BRIDGE 905 320
BRIDGE 949 320
BRIDGE 993 320
BRIDGE 1037 320
BRIDGE 1081 320
BRIDGE 1125 320
BRIDGE 1169 320
BRIDGE 1213 320

PIZZA  950 130
PIZZA 30 130
PIZZA 1800 150
PIZZA 1460 200
PIZZA 2325 700
PIZZA 2325 1150
  

ENEMY 2000 200 80
ENEMY 2400 200 80

ARROW  2280 200

SPRING 945 300
SPRING 2245 700
SPRING 1220 310
SPRING 1421 270
SPRING 400 500

SPIKES 641 1000
SPIKES 724 1000
SPIKES 807 1000
SPIKES 890 1000
SPIKES 973 1000
SPIKES 1056 1000
SPIKES 1139 1000
SPIKES 1222 1000
SPIKES 1305 1000
SPIKES 1388 1000
SPIKES 1471 1000
SPIKES 1554 1000
SPIKES 1637 1000
SPIKES 1720 1000
SPIKES 1803 1000
SPIKES 1886 1000



